ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
209074_s_at,7.2e-41,3.2299999999999996e-45,-24.014016,92.4400698,-3.3717986,FAM107A,family with sequence similarity 107 member A
209555_s_at,1.77e-38,1.59e-42,-22.423293,86.3263106,-2.4169837,CD36,CD36 molecule
204396_s_at,2.97e-38,3.99e-42,-22.192882,85.4161718,-2.3880718,GRK5,G protein-coupled receptor kinase 5
206209_s_at,4.77e-38,8.569999999999999e-42,-22.003112,84.6617956,-2.5535085,CA4,carbonic anhydrase 4
204271_s_at,4.89e-38,1.1e-41,-21.942025,84.4180398,-2.2274919,EDNRB,endothelin receptor type B
204677_at,6.58e-38,1.7699999999999998e-41,-21.823603,83.9442169,-2.6195734,CDH5,cadherin 5
210081_at,2.2300000000000002e-37,7e-41,-21.486438,82.5858433,-4.4174695,AGER,advanced glycosylation end-product specific receptor
32625_at,2.55e-37,9.15e-41,-21.421228,82.3215228,-1.182151,NPR1,natriuretic peptide receptor 1
206702_at,2.59e-37,1.19e-40,-21.357462,82.0625504,-2.4664548,TEK,TEK receptor tyrosine kinase
219719_at,2.59e-37,1.22e-40,-21.351442,82.0380762,-1.3639731,HIGD1B,HIG1 hypoxia inducible domain family member 1B
205200_at,2.59e-37,1.2799999999999998e-40,-21.33997,81.9914215,-3.4118535,EXOSC7,exosome component 7///C-type lectin domain family 3 member B
204931_at,5.3700000000000005e-37,2.89e-40,-21.14183,81.1831049,-2.5300979,TCF21,transcription factor 21
219213_at,6.22e-37,3.87e-40,-21.071401,80.8946227,-1.5591324,JAM2,junctional adhesion molecule 2
217046_s_at,6.22e-37,3.91e-40,-21.069201,80.8856003,-3.0376889,AGER,advanced glycosylation end-product specific receptor
209875_s_at,7.76e-37,5.22e-40,20.99937,80.5989405,4.3644151,SPP1,secreted phosphoprotein 1
204273_at,1.12e-36,8.059999999999999e-40,-20.894898,80.168948,-3.1612603,EDNRB,endothelin receptor type B
208982_at,1.87e-36,1.43e-39,-20.757746,79.6023906,-1.8139137,PECAM1,platelet and endothelial cell adhesion molecule 1
213103_at,1.92e-36,1.55e-39,-20.738386,79.5222243,-1.2198198,STARD13,StAR related lipid transfer domain containing 13
209470_s_at,2.17e-36,1.85e-39,-20.695925,79.3462483,-2.8358372,GPM6A,glycoprotein M6A
208981_at,3.03e-36,2.72e-39,-20.603987,78.9644388,-1.6889025,PECAM1,platelet and endothelial cell adhesion molecule 1
219597_s_at,5.87e-36,5.53e-39,-20.435825,78.2633403,-2.1765235,DUOX1,dual oxidase 1
202112_at,7.41e-36,7.32e-39,-20.369603,77.9862711,-2.2584735,VWF,von Willebrand factor
201540_at,1.2500000000000002e-35,1.2899999999999999e-38,-20.236193,77.4264192,-2.5550412,FHL1,four and a half LIM domains 1
207547_s_at,1.2500000000000002e-35,1.41e-38,-20.215721,77.3403101,-1.8963864,FAM107A,family with sequence similarity 107 member A
203980_at,1.2500000000000002e-35,1.43e-38,-20.211092,77.3208312,-3.8385413,FABP4,fatty acid binding protein 4
209614_at,1.2500000000000002e-35,1.46e-38,-20.206856,77.3030031,-1.5515014,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
205935_at,2.17e-35,2.6299999999999997e-38,-20.068769,76.7206459,-2.2280579,FOXF1,forkhead box F1
205357_s_at,2.82e-35,3.55e-38,-19.998713,76.4242709,-1.6991027,AGTR1,angiotensin II receptor type 1
206481_s_at,2.91e-35,3.8099999999999996e-38,-19.982161,76.3541575,-2.2117826,LDB2,LIM domain binding 2
206742_at,2.91e-35,3.92e-38,-19.975323,76.3251807,-2.5549016,PIR-FIGF,PIR-FIGF readthrough///c-fos induced growth factor
204719_at,3.21e-35,4.47e-38,-19.944776,76.1956655,-2.9599097,ABCA8,ATP binding cassette subfamily A member 8
210299_s_at,3.33e-35,4.79e-38,-19.928645,76.1272249,-2.6841751,FHL1,four and a half LIM domains 1
206701_x_at,4.3e-35,6.37e-38,-19.861906,75.8437122,-2.2989318,EDNRB,endothelin receptor type B
214505_s_at,1.03e-34,1.5700000000000002e-37,-19.652617,74.9509564,-1.8890749,FHL1,four and a half LIM domains 1
206283_s_at,1.23e-34,1.93e-37,-19.605332,74.7484811,-1.2927307,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
