Gene_Symbol,log2FoldChange,pvalue
LSM1,2.642805565547289,1.401338805069333e-07
GAGE2D,1.2417853825280818,7.580600043749229e-07
SPDEF,-3.5618704655336417,1.3953884966422591e-06
CEMIP2,1.918586822882272,2.2795891333492334e-06
CT62,0.1688205117198096,2.5644365956243817e-06
CASC3,-2.877483943555757,2.931441522319296e-06
PHF13,-1.1585442320311556,3.0766990836244186e-06
KNL1,1.6192213452517312,3.831270804709269e-06
TFDP3,0.2773064742746652,4.379338870340908e-06
RMC1,0.93924504586418,5.755156618114776e-06
SPANXN1,3.948032038768479,6.252948257279841e-06
HULC,-0.729234374483192,7.1394321037500975e-06
POTED,-1.7996105209867717,8.452139349347141e-06
KLK9,-2.2700601888030274,1.0048691716769058e-05
DDX53,-1.5015967247970123,1.0727388220123255e-05
CTU1,-0.2891207059706013,1.3234484360949326e-05
CASC6,-2.5320778008360594,1.4873012743677304e-05
GAGE2C,3.807574641020064,1.5660579546317884e-05
ERGIC3,-1.3609568113129566,1.622244350039114e-05
KLK7,-4.407600388406835,1.6850744478696525e-05
AFAP1-AS1,-4.783200611644495,2.008215919785209e-05
VWA2,0.8590457239211535,2.17595830346872e-05
TULP2,-3.052109124927556,2.2087617694950223e-05
LNCOC1,3.664121922303885,2.625100831026028e-05
SPANXN4,-3.3204651222460764,2.6653938439997227e-05
FMR1NB,-0.5644407512163392,3.90406125073585e-05
MAGEC2,-0.0337430618448348,4.409322727273722e-05
TIMELESS,0.5352343603255099,0.0014355169203521
GALNT12,0.7781253863588402,0.0025574838482991
LOC107832851,0.7772689139950115,0.0032973007936921
HORMAD1,2.055150399986225,0.0044815844411208
DNAJB8,-1.1979355946132249,0.0046918792823211
CT45A1,-0.6735170861113944,0.0060354552815996
SCAI,3.911609139535016,0.0060629938882008
RCVRN,3.390600071427057,0.0073776740481355
EBAG9,-0.0895650977748788,0.0082449005118019
SPANXD,1.7151286499960985,0.0110140361813104
CIMIP1,-0.3559487125532337,0.0117662394919442
WNT6,-0.6224103711976837,0.0124997502015182
CENPW,0.3843127648638197,0.0129943132471015
TLNRD1,-2.990516560201677,0.0136505639612938
KDM4B,0.963293449322092,0.0144273715181434
BARHL2,3.75589263024007,0.0150624630204023
DCC,-1.1873632779023904,0.0151158892159604
PGPEP1,-0.3998463249085677,0.0156037804475496
GJB5,-3.301141532710691,0.0168104125509091
LINC01192,1.7048824282374098,0.0171857635052727
NTPCR,0.2837933631281201,0.0175908078541262
MACC1,-2.7658374350150705,0.0187525991438035
GOLGA6L2,-1.9813018460817515,0.0188609475371631
BRMS1L,-0.1820722816421819,0.0196287262268258
BCAS2,1.5740721048090305,0.0207386784332093
NEURL1B,1.584797555795028,0.0226163338427152
MAGEA10,-1.755132734693381,0.0247355815600083
ANKRD30A,-3.092376777195205,0.0249579405698043
BIN2,0.8528799370416097,0.0256657306019776
POTEG,-0.5336178792796181,0.0258265572588536
RNASEL,2.2885052942551853,0.0275551968832628
CT45A10,2.13108333699056,0.0278288695808685
GOLM2,-0.7756668914836401,0.0294241467275575
CT66,0.9040900626190852,0.0307295882458967
MEP1B,1.109548570365571,0.0348167903831815
BLTP2,6.800422916474047,0.0363072835815977
KLK13,1.2061810381079632,0.0383612020805057
TENT5D,-0.1388692472415469,0.0387529351623797
DELEC1,4.578646914635884,0.0388502274875486
ASAP3,-3.9860691469859177,0.0396357148156545
